NAME                      YEAR     COUNTRY      ERDÖS NUMBER
Lars Ahlfors              1936     Finland           4
Jesse Douglas             1936     USA               4
Laurent Schwartz          1950     France            4
Atle Selberg              1950     Norway            2
Kunihiko Kodaira          1954     Japan             2
Jean-Pierre Serre         1954     France            2
Klaus Roth                1958     Germany           2
Rene Thom                 1958     France            4
Lars Hormander            1962     Sweden            3
John Willard Milnor       1962     USA               3
Michael Atiyah            1966     Great Britain     4
Paul Cohen                1966     USA               5
Alexander Grothendieck    1966     Germany/France    5
Stephen Smale             1966     USA               4
Alan Baker                1970     Great Britain     2
Heisuke Hironaka          1970     Japan             4
Serge Novikov             1970     USSR              3
John G. Thompson          1970     USA               3
Enrico Bombieri           1974     Italy             2
David Mumford             1974     Great Britain     2
Pierre Deligne            1978     Belgium           3
Charles Fefferman         1978     USA               2
Gregory Margulis          1978     USSR              3
Daniel Quillen            1978     USA               3
Alain Connes              1982     France            3
William Thurston          1982     USA               2
Shing-Tung Yau            1982     China             2
Simon K. Donaldson        1986     Great Britain     4
Gerd Faltings             1986     Germany           4
Michael Freedman          1986     USA               3
Valdimir Drinfeld         1990     USSR              4
Vaughan Jones             1990     New Zealand       4
Shigemufi Mori            1990     Japan             3
Edward Witten             1990     USA               3
Pierre-Louis Lions        1994     France            4
Jean Christophe Yoccoz    1994     France            3
Jean Bourgain             1994     Belgium           2
Efim Zelmanov             1994     Russia            3
Richard Borcherds        1998     S Afr/Gt Brtn     2
William T. Gowers         1998     Great Britain     4
Maxim L. Kontsevich       1998     Russia            4
Curtis McMullen           1998     USA               3
Laurent Lafforgue         2002     France            5
Vladimir A. Voevodsky     2002     Russia/USA        4
Andrei Okounkov           2006     Russia/USA        3
Grigory Perelman(refused) 2006     Russia            4
Terence C. Tao            2006     Australia/USA     2
Wendelin Werner           2006     Germany/France    3
Ngo Bao Chau              2010     Vietnam           4
Elon Lindenstrauss        2010     Israel            3
Stanislav Smirnov         2010     Russia            3
Cedric Villani            2010     France            3
Artur Avila               2014     Brazil/France     3
Manjul Bhargava           2014     Canada/USA        2
Martin Hairer             2014     Austria/Gt Brtn   4
Maryam Mirzakhani         2014     Iran/USA          3
Caucher Birkar            2018     Iran/Gt Brtn      4
Alessio Figalli           2018     Italy             3
Peter Scholze             2018     Germany           4
Akshay Venkatesh          2018     Australia         3
Hugo Duminil-Copin        2022     Switzerland       2
June Huh                  2022     USA               3
James Alexander Maynard   2022     Great Britain     2
Maryna S. Viazovska       2022     Ukraine/Switz.    3
